@RELATION sms

@ATTRIBUTE class {spam, ham}
@ATTRIBUTE length NUMERIC
@ATTRIBUTE spec_char NUMERIC
@ATTRIBUTE is_cap NUMERIC
@ATTRIBUTE digits NUMERIC
@ATTRIBUTE message STRING

@DATA
ham, 42, 1, 2, 0, "And of course you should make a stink!"
ham, 72, 2, 2, 0, "A few people are at the game, I'm at the mall with iouri and kaila"
spam, 188, 6, 10, 22, "<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches"
spam, 155, 6, 14, 24, "WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM"
ham, 26, 1, 1, 1, "Is xy going 4 e lunch?"
ham, 88, 4, 1, 0, "I'm in school now n i'll be in da lab doing some stuff give me a call when u r done."
spam, 158, 3, 3, 0, "This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com"
ham, 66, 3, 2, 0, "Fyi I'm taking a quick shower, be at epsilon in like  #  min"
ham, 58, 8, 2, 0, "Nope i'm not drivin... I neva develop da photos lei..."
ham, 28, 2, 2, 0, "Sorry, I'll call later"
ham, 144, 6, 7, 0, "Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
ham, 75, 3, 1, 2, "You got job in wipro:)you will get every thing in life in 2 or 3 years."
spam, 108, 3, 9, 17, "We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
ham, 41, 2, 2, 0, "Hi where you. You in home or calicut?"
ham, 91, 2, 3, 1, "There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?"
ham, 42, 5, 1, 0, "No message..no responce..what happend?"
ham, 57, 3, 2, 0, "Great. I'm in church now, will holla when i get out"
ham, 35, 3, 0, 0, "will you like to be spoiled? :)"
ham, 87, 3, 1, 0, "They don't put that stuff on the roads to keep it from getting slippery over there?"
ham, 280, 21, 11, 0, "Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color"
ham, 150, 4, 5, 0, "Lol I was gonna last month. I cashed some in but I left # just in case. I was collecting more during the week cause they announced it on the blog."
ham, 84, 5, 3, 0, "Me too baby! I promise to treat you well! I bet you will take good care of me..."
ham, 42, 2, 1, 0, "Thanx but my birthday is over already."
ham, 83, 4, 3, 0, "About  # bucks. The banks fees are fixed. Better to call the bank and find out."
ham, 115, 6, 2, 0, "Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
ham, 36, 1, 1, 0, "Yes.he have good crickiting mind"
ham, 39, 1, 1, 0, "Are you still playing with gautham?"
spam, 163, 10, 41, 20, "URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham, 51, 1, 1, 0, "I asked sen to come chennai and search for job."
ham, 32, 2, 1, 0, "Ya had just now.onion roast."
ham, 42, 1, 2, 0, "Yeah I'll try to scrounge something up"
ham, 81, 15, 5, 0, "How i noe... She's in da car now... Later then c lar... I'm wearing shorts..."
ham, 52, 2, 1, 0, "Small problem in auction:)punj now asking tiwary"
ham, 30, 0, 1, 0, "Welp apparently he retired"
ham, 56, 3, 2, 0, "Okay same with me. Well thanks for the clarification"
ham, 53, 4, 3, 0, "Slept? I thinkThis time ( #  pm) is not dangerous"
ham, 101, 3, 7, 0, "Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side"
ham, 35, 1, 1, 0, "Jordan got voted out last nite!"
spam, 129, 1, 1, 0, "How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?"
ham, 33, 0, 1, 0, "How much you got for cleaning"
ham, 26, 0, 1, 0, "I will once i get home"
ham, 38, 3, 1, 0, "Tension ah?what machi?any problem?"
ham, 43, 2, 2, 0, "Lol now I'm after that hot air balloon!"
ham, 41, 3, 2, 1, "Play w computer? Aiyah i tok 2 u lor?"
spam, 162, 3, 9, 21, "Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705"
ham, 33, 2, 1, 1, "I'm not coming home 4 dinner."
ham, 26, 0, 1, 0, "Bring it if you got it"
ham, 39, 5, 2, 0, "What pa tell me.. I went to bath:-)"
ham, 156, 6, 113, 9, "YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"
ham, 71, 3, 2, 0, "Looks like you found something to do other than smoke, great job!"
ham, 129, 5, 8, 0, "My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care"
spam, 169, 6, 20, 5, "all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
spam, 141, 6, 6, 0, "LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms"
ham, 57, 3, 1, 1, "I not free today i haf 2 pick my parents up tonite..."
ham, 162, 5, 127, 3, "WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!"
ham, 135, 9, 9, 0, "Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
spam, 166, 10, 26, 24, "URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
spam, 151, 3, 10, 24, "Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&"
ham, 181, 7, 3, 0, "Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?"
ham, 61, 2, 3, 1, "Oh yeah I forgot. U can only take 2 out shopping at once."
ham, 62, 3, 2, 0, "We don call like  #  times oh. No give us hypertension oh."
ham, 27, 1, 1, 0, "Going to join tomorrow."
ham, 29, 2, 1, 0, "Like  # , same question"
ham, 45, 4, 2, 0, "U calling me right? Call my hand phone..."
spam, 160, 4, 9, 16, "4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt"
ham, 28, 2, 2, 0, "Sorry, I'll call later"
ham, 71, 1, 3, 0, "You tell what happen dont behave like this to me. Ok no need to say"
ham, 28, 0, 1, 0, "I wanna watch that movie"
ham, 91, 3, 2, 0, "Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?"
ham, 35, 1, 1, 0, "Gimme a few was  #  minutes ago"
ham, 32, 2, 2, 0, "Pls call me da. What happen."
ham, 50, 1, 1, 0, "Ok then u tell me wat time u coming later lor."
ham, 39, 3, 1, 0, "Just now saw your message.it k da:)"
ham, 42, 1, 1, 0, "U still havent got urself a jacket ah?"
ham, 12, 1, 1, 0, "Beerage?"
ham, 26, 1, 1, 0, "Are you there in room."
ham, 93, 7, 5, 2, "Thanx 4 the time we’ve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
ham, 36, 1, 1, 0, "Hope you are having a great day."
spam, 168, 17, 27, 26, "URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham, 67, 6, 3, 0, "Yes i have. So that's why u texted. Pshew...missing you so much"
ham, 81, 2, 2, 3, "I called but no one pick up e phone. I ask both of them already they said ok."
ham, 28, 1, 1, 0, "Shall i start from hear."
ham, 40, 1, 3, 0, "Ok how you dear. Did you call chechi"
ham, 335, 7, 6, 0, "I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
ham, 105, 3, 2, 0, "That day u say u cut ur hair at paragon, is it called hair sense? Do u noe how much is a hair cut? "
ham, 64, 0, 1, 0, "I want to be there so i can kiss you and feel you next to me"
ham, 69, 3, 2, 0, "I think if he rule tamilnadu..then its very tough for our people."
ham, 37, 5, 0, 1, "2 celebrate my b’day, y else?"
ham, 153, 8, 7, 0, "Do you know why god created gap between your fingers..? So that, One who is made for you comes & fills those gaps by holding your hand with LOVE..!"
ham, 35, 2, 2, 0, "Sorry, I'll call later ok bye"
ham, 153, 7, 4, 0, "Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao."
spam, 161, 7, 9, 19, "This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate "
ham, 32, 4, 2, 0, "Yunny... I'm goin to be late"
spam, 57, 0, 3, 2, "Adult 18 Content Your video will be with you shortly"
ham, 155, 6, 2, 1, "I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages.."
ham, 28, 2, 2, 0, "Sorry, I'll call later"
ham, 189, 8, 6, 0, "I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|"
ham, 31, 0, 1, 0, "Arun can u transfr me d amt"
spam, 153, 10, 25, 25, "UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub"
ham, 43, 6, 1, 0, "Ya, told..she was asking wats matter?"
ham, 34, 2, 2, 0, "Tell me something. Thats okay."
ham, 47, 0, 1, 2, "You always make things bigger than they are"
ham, 56, 1, 3, 0, "Thinkin about someone is all good. No drugs for that"
ham, 84, 1, 3, 2, "Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok."
ham, 27, 4, 1, 0, "No..but heard abt tat.."
ham, 39, 1, 2, 0, "I wish u were here. I feel so alone"
ham, 54, 3, 1, 0, "Cos daddy arranging time c wat time fetch u mah..."
ham, 31, 2, 1, 0, "It vl bcum more difficult.."
ham, 37, 2, 2, 0, "We will meet soon princess! Ttyl!"
ham, 156, 6, 7, 0, "Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
ham, 76, 8, 1, 0, "I am in office:)whats the matter..msg me now.i will call you at break:)."
ham, 117, 10, 82, 2, "BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP..."
ham, 164, 11, 5, 0, "House-Maid is the murderer, coz the man was murdered on  # th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham, 91, 0, 1, 0, "what I meant to say is cant wait to see u again getting bored of this bridgwater banter"
spam, 86, 0, 5, 11, "Please CALL 08712402779 immediately as there is an urgent message waiting for you"
ham, 154, 19, 4, 1, "Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
ham, 41, 1, 1, 0, "Are you willing to go for apps class."
ham, 38, 2, 1, 0, "Yeah, we got one lined up for us"
spam, 148, 10, 7, 19, "Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+"
ham, 49, 2, 1, 0, "This pain couldn't have come at a worse time."
ham, 39, 2, 1, 0, "Wat time r u going to xin's hostel?"
spam, 158, 4, 9, 13, "Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net"
ham, 41, 5, 2, 0, "Dunno dat's wat he told me. Ok lor..."
ham, 52, 3, 2, 1, "Huh? 6 also cannot? Then only how many mistakes?"
spam, 165, 3, 17, 23, "Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx"
ham, 90, 2, 2, 1, "I wanted to ask u to wait 4 me to finish lect. Cos my lect finishes in an hour anyway."
ham, 68, 2, 1, 0, "Total video converter free download type this in google search:)"
spam, 158, 11, 14, 28, "You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99"
ham, 106, 14, 4, 1, "Height of Oh no....!! situation: A guy throws a luv letter on a gal but falls on her brother,.;-):-D"
ham, 78, 4, 4, 0, "Yup song bro. No creative. Neva test quality. He said check review online."
spam, 152, 12, 14, 21, "WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3"
ham, 27, 1, 1, 1, "Fine am simply sitting."
spam, 172, 12, 20, 16, "GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd"
ham, 91, 1, 71, 0, "MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED"
ham, 74, 3, 4, 0, "Company is very good.environment is terrific and food is really nice:)"
ham, 46, 6, 1, 0, "K..k:)where are you?how did you performed?"
ham, 65, 3, 2, 1, "Did you say bold, then torch later. Or one torch and 2bold?"
ham, 170, 5, 4, 0, "You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later."
spam, 100, 8, 4, 13, "Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!"
ham, 57, 6, 2, 0, "You could have seen me..i did't recognise you Face.:)"
ham, 160, 8, 24, 0, "The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
ham, 29, 2, 1, 0, "India have to take lead:)"
ham, 58, 1, 1, 0, "Carlos'll be here in a minute if you still need to buy"
ham, 68, 3, 3, 1, "Hello, As per request from  #  Rs.5 has been transfered to you"
ham, 116, 4, 2, 0, "If you hear a loud scream in about # minutes its cause my Gyno will be shoving things up me that don't belong :/"
ham, 9, 3, 1, 0, "Ok..."
ham, 28, 2, 2, 0, "Sorry, I'll call later"
spam, 163, 13, 20, 16, "I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over."
ham, 40, 2, 2, 0, "There the size of elephant tablets!!"
ham, 42, 3, 3, 1, "Yeah I am, so I'll leave maybe 7ish?"
ham, 160, 8, 3, 0, "I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
ham, 66, 13, 4, 0, "Good Morning my Dear........... Have a great & successful day."
spam, 148, 7, 7, 13, "Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
spam, 113, 3, 16, 5, "Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B"
ham, 9, 3, 1, 0, "Ok..."
ham, 54, 0, 2, 0, "Just curious because my cuz asked what I was up to"
ham, 34, 0, 1, 0, "Then we gotta do it after that"
ham, 31, 0, 1, 0, "Dont you have message offer"
ham, 80, 4, 3, 0, "Only just got this message, not ignoring you. Yes, i was. Shopping that is"
ham, 59, 1, 1, 0, "He needs to stop going to bed and make with the dealing"
ham, 55, 1, 1, 0, "Pls she needs to dat slowly or she will vomit more."
ham, 26, 3, 1, 0, "Meet after lunch la..."
ham, 154, 4, 28, 0, "Your account has been refilled successfully by INR  DECIMAL . Your KeralaCircle prepaid account balance is Rs  DECIMAL . Your Transaction ID is KR # ."
ham, 38, 3, 1, 0, "Nothing spl..wat abt u and whr ru?"
ham, 117, 25, 19, 0, "Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ..."
ham, 17, 1, 0, 1, "say thanks2. "
spam, 160, 8, 26, 12, "HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com"
ham, 34, 4, 1, 0, "Yup i've finished c u there..."
ham, 40, 1, 1, 0, "K come to nordstrom when you're done"
ham, 26, 3, 1, 0, "Dad went out oredi... "
ham, 64, 3, 1, 0, "This is one of the days you have a billion classes, right?"
ham, 32, 0, 2, 0, "Good Morning plz call me sir"
ham, 103, 4, 3, 0, "Yeah there's barely enough room for the two of us, x has too many shoes. Sorry man, see you later"
spam, 167, 3, 4, 19, "Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p"
ham, 47, 3, 3, 0, "Yo! Howz u? girls never rang after india. L"
ham, 129, 3, 4, 1, "I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time"
ham, 121, 6, 4, 0, "Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday."
ham, 140, 11, 3, 3, "Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai.........."
ham, 111, 16, 4, 0, "Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
ham, 38, 1, 1, 1, "Wat time do u wan 2 meet me later?"
ham, 52, 3, 2, 0, "I think just yourself ...Thanks and see you tomo"
ham, 29, 2, 2, 0, "I sent them. Do you like?"
ham, 49, 5, 2, 0, "Ok... Help me ask if she's working tmr a not?"
ham, 33, 1, 2, 0, "No problem. Talk to you later"
ham, 31, 0, 1, 0, "How dare you change my ring"
ham, 166, 2, 2, 0, "I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay"
spam, 161, 3, 22, 20, "Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705"
spam, 163, 8, 34, 19, "FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)"
ham, 35, 3, 3, 0, "Jus ans me lar. U'll noe later."
ham, 61, 4, 1, 0, "Alright we'll bring it to you, see you in like  #  mins"
ham, 82, 2, 2, 0, "I don't think I can get away for a trek that long with family in town, sorry"
spam, 158, 10, 57, 17, "EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+"
ham, 55, 1, 1, 0, "Oh, then your phone phoned me but it disconnected"
ham, 47, 3, 0, 0, "see you then, we're all christmassy here!"
ham, 102, 2, 2, 0, "Actually, just do whatever, do find an excuse to be in tampa at some point before january though"
ham, 35, 1, 1, 0, "It is only yesterday true true."
spam, 148, 9, 11, 31, "You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX"
ham, 40, 2, 2, 0, "Ho ho - big belly laugh! See ya tomo"
ham, 39, 4, 2, 0, "You'd like that wouldn't you? Jerk!"
ham, 162, 6, 4, 0, "So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
ham, 87, 4, 3, 0, "Sorry, I'll call later in meeting any thing related to trade please call Arul. # "
ham, 68, 1, 1, 0, "My planning usually stops at find hella weed, smoke hella weed"
ham, 95, 2, 2, 2, "U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?"
ham, 100, 4, 2, 2, "I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui."
ham, 30, 0, 1, 0, "Did you stitch his trouser"
ham, 82, 10, 5, 0, "Short But Cute :  Be a good person , but dont try to prove ..... Gud mrng..."
ham, 153, 3, 21, 8, "7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st Ur Lovely Friendship... good morning dear"
ham, 46, 6, 2, 1, "Black shirt n blue jeans... I thk i c u..."
ham, 23, 1, 2, 0, "Yes. Last  practice"
ham, 63, 7, 4, 0, "Okay... I booked all already... Including the one at bugis."
ham, 159, 7, 4, 0, "Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!"
ham, 325, 10, 5, 0, "Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  #  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe"
ham, 49, 2, 2, 0, "Didn't try, g and I decided not to head out"
ham, 55, 1, 2, 0, "I cant pick the phone right now. Pls send a message"
ham, 107, 3, 5, 0, "To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola"
ham, 30, 0, 1, 0, "Much better now thanks lol"
ham, 90, 3, 3, 0, "I'm reading the text i just sent you. Its meant to be a joke. So read it in that light"
ham, 132, 5, 2, 0, "Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  #  sent msg i wil explain u later."
ham, 153, 8, 7, 0, "Do you know why god created gap between your fingers..? So that, One who is made for you comes & fills those gaps by holding your hand with LOVE..!"
ham, 47, 1, 1, 0, "Can not use foreign stamps in this country."
ham, 100, 8, 2, 3, "Erm ... ill pick you up at about 6.45pm. That'll give enough time to get there, park and that."
ham, 83, 4, 3, 0, "I got like $ # , I can get some more later though. Get whatever you feel like"
ham, 84, 0, 1, 0, "Hey mr whats the name of that bill brison book the one about language and words "
ham, 118, 4, 3, 0, "My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!"
spam, 152, 12, 22, 24, "URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU"
ham, 211, 9, 2, 0, "Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
ham, 130, 3, 3, 0, "I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them."
ham, 16, 3, 1, 0, "Huh y lei..."
spam, 149, 3, 16, 34, "PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires"
ham, 36, 3, 1, 1, "I wait 4 u inside da car park..."
ham, 46, 1, 1, 3, "Can i get your opinion on something first?"
ham, 36, 0, 1, 0, "Will you come online today night"
ham, 63, 1, 2, 3, "Be sure to check your yahoo email. We sent photos yesterday"
ham, 106, 3, 7, 3, "Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  EMAIL ,kerala"
ham, 112, 6, 5, 3, "Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today."
ham, 154, 11, 14, 0, "When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
ham, 68, 4, 5, 0, "Ahhh. Work. I vaguely remember that! What does it feel like? Lol"
ham, 7, 2, 2, 0, "Ok."
ham, 246, 5, 3, 0, "The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
ham, 146, 5, 10, 0, "Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen."
ham, 160, 4, 3, 0, "He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
ham, 35, 2, 0, 0, "get ready to moan and scream :)"
ham, 76, 3, 2, 0, "Yetunde i'm in class can you not run water on it to make it ok. Pls now."
ham, 93, 5, 5, 1, "Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? "
spam, 38, 1, 10, 11, "Call FREEPHONE 0800 542 0578 now!"
ham, 44, 1, 1, 0, "Only once then after ill obey all yours."
ham, 104, 6, 6, 0, "That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day."
ham, 66, 2, 46, 0, "CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx"
spam, 150, 2, 9, 24, "Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674"
ham, 34, 1, 2, 0, "But i dint slept in afternoon."
ham, 10, 3, 1, 0, "Yup..."
ham, 81, 5, 1, 0, "Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good."
ham, 43, 1, 2, 0, "Hi happy birthday. Hi hi hi hi hi hi hi"
ham, 146, 4, 2, 5, "Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish."
ham, 30, 0, 1, 0, "I am on the way to ur home"
ham, 28, 0, 1, 0, "Convey my regards to him"
ham, 81, 2, 2, 1, "U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?"
ham, 70, 4, 2, 0, "K, jason says he's gonna be around so I'll be up there around  #"
ham, 29, 1, 1, 0, "First answer my question."
ham, 28, 2, 2, 0, "Sorry, I'll call later"
ham, 78, 3, 8, 0, "I absolutely LOVE South Park! I only recently started watching the office."
ham, 90, 5, 2, 0, "It's cool, let me know before it kicks off around  # , I'll be out and about all day"
ham, 105, 4, 0, 3, "hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30"
spam, 166, 14, 13, 27, "Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876"
ham, 28, 0, 1, 0, "Oh sorry please its over"
ham, 33, 4, 7, 0, "Vikky, come around  TIME .."
spam, 160, 7, 26, 16, "HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com"
ham, 35, 1, 1, 0, "Poor girl can't go one day lmao"
ham, 130, 6, 4, 0, "Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!"
ham, 48, 3, 2, 0, "No. But we'll do medical missions to nigeria"
ham, 60, 7, 2, 0, "I've reached home n i bathe liao... U can call me now..."
ham, 100, 2, 2, 0, "Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love"
ham, 82, 6, 2, 0, "Speak only when you feel your words are better than the silence... Gud mrng:-)"
ham, 67, 5, 1, 0, "Hmm ok, i'll stay for like an hour cos my eye is really sore!"
ham, 45, 0, 1, 0, "Also track down any lighters you can find"
ham, 118, 3, 3, 0, "I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people."
ham, 35, 1, 1, 0, "Just glad to be talking to you."
ham, 36, 1, 1, 0, "on hen night. Going with a swing"
ham, 140, 6, 9, 3, "chile, please! It's only a  DECIMAL  hour drive for me. I come down all the time and will be subletting feb-april for audition season."
ham, 39, 0, 1, 1, "I have to take exam with in march 3"
ham, 61, 2, 43, 1, "MAYBE IF YOU WOKE UP BEFORE 3 THIS WOULDN'T BE A PROBLEM."
ham, 48, 3, 5, 0, "It'll be tough, but I'll do what I have to"
